gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,cik,costat,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,Mkt cap 31 Dec 2024
1690,9/30/24,2024,INDL,C,D,STD,AAPL,APPLE INC,USD,320193,A,452020,45,45202030,334220,3663,190,940,3785.304396
117768,1/31/25,2024,INDL,C,D,STD,NVDA,NVIDIA CORP,USD,1045810,A,453010,45,45301020,334413,3674,235,940,3288.761855
12141,6/30/24,2024,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,789019,A,451030,45,45103020,513210,7372,185,940,3133.802342
64768,12/31/24,2024,INDL,C,D,STD,AMZN,AMAZON.COM INC,USD,1018724,A,255030,25,25503030,455219,5961,447,976,2306.888263
184996,12/31/24,2024,INDL,C,D,STD,TSLA,TESLA INC,USD,1318605,A,251020,25,25102010,336111,3711,,,1296.35063
170617,12/31/24,2024,INDL,C,D,STD,META,META PLATFORMS INC,USD,1326801,A,502030,50,50203010,519290,7370,,,1276.412407
160329,12/31/24,2024,INDL,C,D,STD,GOOGL,ALPHABET INC,USD,1652044,A,502030,50,50203010,518210,7370,,,1106.0799
180711,10/31/24,2024,INDL,C,D,STD,AVGO,BROADCOM INC,USD,1730168,A,453010,45,45301020,334413,3674,,,1086.40224
6730,12/31/24,2024,INDL,C,D,STD,LLY,LILLY (ELI) & CO,USD,59478,A,352020,35,35202010,325412,2834,285,905,732.871952
11259,1/31/25,2024,INDL,C,D,STD,WMT,WALMART INC,USD,104169,A,301010,30,30101040,455219,5331,445,976,725.8164251
2968,12/31/24,2024,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,19617,A,401010,40,40101010,522110,6020,850,800,674.8651796
179534,9/30/24,2024,INDL,C,D,STD,V,VISA INC,USD,1403161,A,402010,40,40201060,522320,6099,,,546.5592773
160225,12/31/24,2024,INDL,C,D,STD,MA,MASTERCARD INC,USD,1141391,A,402010,40,40201060,522320,7389,,,479.5831149
4503,12/31/24,2024,INDL,C,D,STD,XOM,EXXON MOBIL CORP,USD,34088,A,101020,10,10102010,324110,2911,390,935,472.7803692
10903,12/31/24,2024,INDL,C,D,STD,UNH,UNITEDHEALTH GROUP INC,USD,731766,A,351020,35,35102030,524114,6324,287,905,465.534855
29028,8/31/24,2024,INDL,C,D,STD,COST,COSTCO WHOLESALE CORP,USD,909832,A,301010,30,30101040,455211,5399,445,976,406.7707452
8762,6/30/24,2024,INDL,C,D,STD,PG,PROCTER & GAMBLE CO,USD,80424,A,303010,30,30301010,325611,2840,320,978,394.8227677
5680,1/31/25,2024,INDL,C,D,STD,HD,HOME DEPOT INC,USD,354950,A,255040,25,25504030,444110,5211,450,976,386.4082634
147579,12/31/24,2024,INDL,C,D,STD,NFLX,NETFLIX INC,USD,1065280,A,502020,50,50202010,516210,7841,245,978,381.0018688
6266,12/31/24,2024,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,200406,A,352020,35,35202010,325412,2834,280,905,348.1904383
7647,12/31/24,2024,INDL,C,D,STD,BAC,BANK OF AMERICA CORP,USD,70858,A,401010,40,40101010,522110,6020,810,800,337.223076
157855,1/31/25,2024,INDL,C,D,STD,CRM,SALESFORCE INC,USD,1108524,A,451030,45,45103010,513210,7372,,,319.9538004
16101,12/31/24,2024,INDL,C,D,STD,ABBV,ABBVIE INC,USD,1551152,A,352010,35,35201010,325414,2836,,,314.020778
3144,12/31/24,2024,INDL,C,D,STD,KO,COCA-COLA CO,USD,21344,A,302010,30,30201030,312111,2086,145,978,268.2034412
2991,12/31/24,2024,INDL,C,D,STD,CVX,CHEVRON CORP,USD,93410,A,101020,10,10102010,324110,2911,390,935,260.2906604
17874,12/31/24,2024,INDL,C,D,STD,TMUS,T-MOBILE US INC,USD,1283699,A,501020,50,50102010,517112,4812,,,256.1542955
